date,variant,count
3/7/2021,alpha,16
3/7/2021,epsilon,31
3/7/2021,iota,1
3/7/2021,no_interest,6
3/14/2021,alpha,12
3/14/2021,epsilon,23
3/14/2021,no_interest,16
3/21/2021,alpha,12
3/21/2021,epsilon,9
3/21/2021,no_interest,10
3/28/2021,alpha,24
3/28/2021,epsilon,13
3/28/2021,iota,1
3/28/2021,no_interest,3
3/28/2021,gamma,2
4/4/2021,alpha,36
4/4/2021,epsilon,24
4/4/2021,iota,2
4/4/2021,no_interest,2
4/4/2021,gamma,1
4/11/2021,alpha,21
4/11/2021,epsilon,11
4/11/2021,iota,2
4/11/2021,no_interest,3
4/18/2021,alpha,33
4/18/2021,epsilon,2
4/18/2021,iota,2
4/18/2021,no_interest,5
4/18/2021,gamma,6
4/25/2021,alpha,15
4/25/2021,no_interest,2
4/25/2021,gamma,2
4/25/2021,delta,2
5/2/2021,alpha,5
5/2/2021,no_interest,3
5/9/2021,alpha,6
5/9/2021,iota,2
5/9/2021,no_interest,4
5/9/2021,gamma,1
5/23/2021,gamma,23
6/6/2021,alpha,1